order_id,payment_sequential,payment_type,payment_installments,payment_value
fb1a2a1296f822405a946cbdfc0d3ed6,1,credit_card,3,-34.78
845af9472cc76e66fbf445931b511755,1,credit_card,5,-123.41
4b5648d8399ea47a4c323499045aaefc,1,boleto,1,-32.38
828c3114b783f896fba059433600c471,1,credit_card,1,-77.57
ac14a1a3d8c2b071a150eb2990b5ecd8,1,credit_card,2,-49.77
ee00fa5093eb96d8573403b382fb60a8,1,boleto,1,-66.44
f44117f1303c4e6573d463bdedff85de,1,credit_card,3,-114.85
6f393015477564624446a2b4c948c0f0,1,credit_card,4,-40.43
2c9802d8dcf6a98e04bc7dc09cb33c65,1,boleto,1,-63.05
36bd9a684be63b7aed450f82d31727f0,1,credit_card,6,-133.93
f0a3e1364c48c7c7f24a2282883d5c64,1,credit_card,1,-27.36
4ef50a2c9652e429d7d7591a0712aad0,1,credit_card,1,-135.72
21f27570ef536f54c3f27f4c9e9c9709,1,credit_card,2,-211.6
a1deb5a1e93bdf89bc4e5e00ec3691d6,1,credit_card,2,-189.56
4294d6c2b09c5f2438c01b11c91ff7a8,1,debit_card,1,-184.77
a28b2354a61dbafb15e76454d557d543,1,credit_card,1,-49.12
3f61fdc385ace6c39912703194992ad7,1,boleto,1,-169.48
dd1dfe88448d5571a97af819c52776b4,1,credit_card,3,-68.89
33ec97b423d769023dbd71f138aca94a,1,credit_card,10,-1381.87
80cc641291fcdf79b31212ddd7b175c9,1,credit_card,4,-244.72
eca4633566cacdae57271f51ebe79131,1,credit_card,4,-352.98
061b74bca735bb2c1953e40bc098101d,1,credit_card,3,-98.88
a4635c4b193e740cc720feeb43e075ef,1,credit_card,10,-100.18
c4ee04fd6b5632ac5b0b3c6834a9f3cd,1,credit_card,1,-35.42
7f4214f76d60bda5b31f6003e8efe6bc,1,credit_card,1,-111.69
48b4f1f96d5ae13b404fe7d041a8d393,1,credit_card,1,-94.74
2263541189c89c889a7532e7f5766b77,1,credit_card,1,-130.22
97f6c1beeb18315f25509f009a45b111,1,boleto,1,-148.06
56d77478af78c445066db1c9876e9e84,1,credit_card,3,-170.76
6982e573fae66449ecdcb3381c5c75f9,1,credit_card,5,-329.47
6c20d70e7c720f7895651a703e320b86,1,credit_card,7,-76.72
dedbf4a9f32dd77fa0d5db00bbf70b31,1,credit_card,2,-102.06
5c71e221fbfe172146d1ded47bf97fee,1,credit_card,1,-67.3
